,Filename,x(cm),h(cm),date,time,duration,COM,totalcount,mean,std,plate1_move_x(cm),plate1_move_z(cm),Mean_CosTheta_CosSquaredTheta,Std_CosTheta_CosSquaredTheta,Mean_SolidAngle_CosSquaredTheta(sr),Std_SolidAngle_CosSquaredTheta(sr),Mean_Flux,Std_Flux,Mean_Flux_weighted,Std_Flux_weighted
46,output_x100cm_h10cm_20250611_135637_COM4.txt,100.0,10.0,20250611,135637,14874.2573,COM4,49.0,0.003294282128627693,0.000470611732661099,,,,,,,,,,
47,output_x100cm_h10cm_20250612_121524_COM5.txt,100.0,10.0,20250612,121524,90845.1994,COM5,173.0,0.0019043383815832101,0.00014478416608512508,,,,,,,,,,
48,output_x100cm_h10cm_20250613_142744_COM19.txt,100.0,10.0,20250613,142744,89047.6981,COM19,206.0,0.002313366930256449,0.0001611799114480122,,,,,,,,,,
49,output_x100cm_h10cm_20250614_154508_COM8.txt,100.0,10.0,20250614,154508,73304.2808,COM8,305.0,0.004160739272951164,0.00023824323772061318,,,,,,,,,,
50,output_x100cm_h10cm_20250616_210605_COM8.txt,100.0,10.0,20250616,210605,64374.7342,COM8,172.0,0.002671855692104745,0.0002037270865905028,,,,,,,,,,
51,output_x100cm_h10cm_20250617_154542_COM8.txt,100.0,10.0,20250617,154542,78195.162,COM8,142.0,0.0018159691260694621,0.00015239274378398224,,,,,,,,,,
52,output_x100cm_h32.5cm_20250616_143635_COM8.txt,100.0,32.5,20250616,143635,7662.0628,COM8,12.0,0.001566157875918219,0.00045211083562741804,,,,,,,,,,
53,output_x100cm_h32.5cm_20250616_173254_COM8.txt,100.0,32.5,20250616,173254,10440.5972,COM8,18.0,0.001724039310701499,0.00040635996254307033,,,,,,,,,,
54,output_x100cm_h32.5cm_20250620_123731_COM4.txt,100.0,32.5,20250620,123731,10064.6494,COM4,15.0,0.0014903648804696565,0.0003848105574554258,,,,,,,,,,
55,output_x100cm_h32.5cm_20250620_153729_COM4.txt,100.0,32.5,20250620,153729,6377.6924,COM4,13.0,0.00203835481309823,0.0005653379074011141,,,,,,,,,,
56,output_x200cm_h45cm_20250617_154403_COM3.txt,200.0,45.0,20250617,154403,78289.048,COM3,167.0,0.0021331208421387373,0.0001650658465449738,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-3.46179226364483e-05,4.003613339325684e-05,-3.46179226364483e-05,4.003613339325684e-05
57,output_x200cm_h45cm_20250617_154403_COM3.txt,200.0,45.0,20250617,154403,78289.048,COM3,167.0,0.0021331208421387373,0.0001650658465449738,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-3.46179226364483e-05,4.003613339325684e-05,-3.46179226364483e-05,4.003613339325684e-05
58,output_x200cm_h45cm_20250617_154432_COM4.txt,200.0,45.0,20250617,154432,78266.871,COM4,137.0,0.0017504213244962867,0.0001495485862814118,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-0.0001140062804430389,3.732923794034985e-05,-7.848828059769345e-05,3.8564577192686576e-05
59,output_x200cm_h45cm_20250617_154432_COM4.txt,200.0,45.0,20250617,154432,78266.871,COM4,137.0,0.0017504213244962867,0.0001495485862814118,200.0,45.0,0.0,0.006476,0.048206,0.00036144,-0.0001140062804430389,3.732923794034985e-05,-7.848828059769345e-05,3.8564577192686576e-05
