plate1_move_x(cm)	plate1_move_z(cm)	Coincidence_CosSquaredTheta(/s)	Mean_CosTheta_CosSquaredTheta	Std_CosTheta_CosSquaredTheta	Mean_SolidAngle_CosSquaredTheta(sr)	Std_SolidAngle_CosSquaredTheta(sr)	Mean_CosSquaredTheta_CosSquaredTheta
17.00	45.00	1.1539e-02	9.3388e-01	2.5999e-02	3.9823e-02	2.4586e-03	8.7281e-01
18.00	45.00	1.0787e-02	9.2849e-01	2.7707e-02	3.8992e-02	2.5164e-03	8.6287e-01
19.00	45.00	1.0972e-02	9.1981e-01	2.8086e-02	3.8111e-02	2.5508e-03	8.4684e-01
20.00	45.00	1.0718e-02	9.1397e-01	2.9497e-02	3.7245e-02	2.5884e-03	8.3621e-01
21.00	45.00	1.0035e-02	9.0769e-01	2.9904e-02	3.6340e-02	2.6029e-03	8.2480e-01
22.00	45.00	9.9306e-03	9.0012e-01	3.0799e-02	3.5426e-02	2.6251e-03	8.1116e-01
23.00	45.00	9.2940e-03	8.9383e-01	3.1414e-02	3.4538e-02	2.6250e-03	7.9991e-01
24.00	45.00	8.3333e-03	8.8371e-01	3.1479e-02	3.3623e-02	2.6198e-03	7.8194e-01
25.00	45.00	9.1551e-03	8.7720e-01	3.3317e-02	3.2707e-02	2.6102e-03	7.7060e-01
26.00	45.00	7.9745e-03	8.7031e-01	3.1147e-02	3.1837e-02	2.5943e-03	7.5841e-01
27.00	45.00	7.9514e-03	8.6108e-01	3.3901e-02	3.0931e-02	2.5688e-03	7.4261e-01
28.00	45.00	6.7014e-03	8.5306e-01	3.3119e-02	3.0058e-02	2.5457e-03	7.2881e-01
29.00	45.00	6.7361e-03	8.4432e-01	3.3532e-02	2.9183e-02	2.5119e-03	7.1400e-01
30.00	45.00	6.3773e-03	8.3631e-01	3.5038e-02	2.8318e-02	2.4729e-03	7.0064e-01
31.00	45.00	5.9144e-03	8.2996e-01	3.5220e-02	2.7478e-02	2.4323e-03	6.9008e-01
32.00	45.00	5.7176e-03	8.1772e-01	3.4463e-02	2.6651e-02	2.3817e-03	6.6985e-01
33.00	45.00	6.1227e-03	8.1129e-01	3.5571e-02	2.5840e-02	2.3373e-03	6.5945e-01
34.00	45.00	5.6944e-03	8.0426e-01	3.4418e-02	2.5041e-02	2.2776e-03	6.4802e-01
35.00	45.00	5.2894e-03	7.9788e-01	3.5738e-02	2.4265e-02	2.2289e-03	6.3789e-01
36.00	45.00	4.9074e-03	7.8816e-01	3.2965e-02	2.3510e-02	2.1734e-03	6.2228e-01
37.00	45.00	4.4676e-03	7.8251e-01	3.4847e-02	2.2775e-02	2.1178e-03	6.1354e-01
38.00	45.00	4.2477e-03	7.6880e-01	3.3767e-02	2.2037e-02	2.0614e-03	5.9220e-01
39.00	45.00	3.6690e-03	7.6192e-01	3.1317e-02	2.1330e-02	2.0093e-03	5.8150e-01
40.00	45.00	3.9583e-03	7.5472e-01	3.2779e-02	2.0643e-02	1.9558e-03	5.7067e-01
41.00	45.00	3.7037e-03	7.4453e-01	3.1114e-02	1.9973e-02	1.8914e-03	5.5530e-01
42.00	45.00	3.3102e-03	7.3834e-01	3.0283e-02	1.9327e-02	1.8392e-03	5.4607e-01
43.00	45.00	2.8588e-03	7.2939e-01	3.2102e-02	1.8709e-02	1.7859e-03	5.3303e-01
44.00	45.00	3.4722e-03	7.2068e-01	3.3614e-02	1.8101e-02	1.7255e-03	5.2050e-01
45.00	45.00	2.8472e-03	7.1345e-01	3.0595e-02	1.7508e-02	1.6686e-03	5.0995e-01
46.00	45.00	2.8356e-03	7.0710e-01	3.2089e-02	1.6935e-02	1.6179e-03	5.0102e-01
47.00	45.00	2.5347e-03	6.9974e-01	3.0949e-02	1.6387e-02	1.5640e-03	4.9060e-01
48.00	45.00	2.8588e-03	6.8976e-01	2.9902e-02	1.5859e-02	1.5097e-03	4.7666e-01
49.00	45.00	2.4537e-03	6.8238e-01	3.0838e-02	1.5333e-02	1.4641e-03	4.6660e-01
50.00	45.00	2.1296e-03	6.7833e-01	2.7894e-02	1.4850e-02	1.4134e-03	4.6091e-01
200	45	1.5856e-02	0.0000e+00	6.4760e-03	4.8206e-02	3.6144e-04	9.8456e-01
200	45	1.5856e-02	0.0000e+00	6.4760e-03	4.8206e-02	3.6144e-04	9.8456e-01
