1750064787.423445	53	4008	5214
1750064792.4357421	53	4027	5223
1750064797.4547455	53	4033	5239
1750064802.4669135	53	4048	5252
1750064807.48209	53	4059	5260
1750064812.4942594	54	4075	5276
1750064817.5064216	54	4080	5288
1750064822.5263147	54	4096	5307
1750064827.5385647	54	4105	5322
1750064832.555185	54	4117	5334
1750064837.5672388	55	4128	5349
1750064842.5797613	55	4142	5360
1750064847.6014981	55	4148	5379
1750064852.6143322	56	4160	5394
1750064857.6303644	56	4173	5406
1750064862.6460674	56	4182	5420
1750064867.6588628	56	4193	5435
1750064872.676136	57	4204	5444
1750064877.7021992	57	4213	5465
1750064882.7163715	57	4223	5476
1750064887.7298121	57	4230	5486
1750064892.7422647	57	4238	5499
1750064897.7566833	57	4247	5514
1750064902.7739213	57	4255	5532
1750064907.7886226	57	4265	5544
1750064912.8039467	57	4276	5554
1750064917.8172348	57	4282	5568
1750064922.8314753	58	4291	5576
1750064927.8520534	58	4300	5597
1750064932.8674188	58	4306	5610
1750064937.8814108	58	4315	5622
1750064942.8961327	58	4331	5635
1750064947.9105892	58	4342	5644
1750064952.925374	58	4352	5659
1750064957.940801	58	4358	5670
1750064962.9556043	58	4367	5684
1750064967.9708076	58	4377	5697
1750064972.9854174	58	4386	5715
1750064978.002767	58	4394	5724
1750064983.01719	58	4407	5742
1750064988.0313938	58	4419	5763
1750064993.045509	59	4431	5775
1750064998.061504	60	4449	5793
1750065003.0770078	60	4462	5803
1750065008.0937572	60	4470	5817
1750065013.1095343	60	4475	5837
1750065018.1226163	60	4484	5854
1750065023.1375382	60	4494	5864
1750065028.1526635	60	4501	5882
1750065033.1682096	60	4517	5893
1750065038.1832156	60	4528	5904
1750065043.1985335	61	4535	5920
1750065048.2137136	61	4545	5930
1750065053.2286003	61	4556	5945
1750065058.246958	61	4566	5962
1750065063.2612672	61	4573	5974
1750065068.2748	61	4584	5989
1750065073.2900417	61	4596	6005
1750065078.3082166	61	4601	6017
1750065083.3275092	61	4612	6030
1750065088.3417692	62	4621	6041
1750065093.3568277	62	4625	6054
1750065098.371867	62	4635	6067
1750065103.3886354	62	4645	6077
1750065108.410298	63	4654	6090
1750065113.425185	63	4666	6103
1750065118.4397495	63	4678	6116
1750065123.4547539	63	4687	6131
1750065128.470901	63	4696	6141
1750065133.4913483	63	4707	6155
1750065138.506521	63	4712	6169
1750065143.5201662	63	4722	6184
1750065148.5347629	63	4732	6198
1750065153.5496843	63	4741	6210
1750065158.5728889	63	4757	6221
1750065163.5898125	63	4766	6230
1750065168.6030295	64	4776	6244
1750065173.6177077	64	4784	6260
1750065178.6336653	64	4797	6279
1750065183.6540878	64	4806	6286
1750065188.6696205	64	4814	6299
1750065193.6837912	64	4822	6313
1750065198.698823	64	4834	6319
1750065203.7130306	64	4841	6333
1750065208.7348871	64	4849	6343
1750065213.7503803	65	4862	6360
1750065218.7632146	65	4867	6374
1750065223.776401	65	4877	6385
1750065228.7944317	65	4885	6405
1750065233.8160183	66	4891	6428
1750065238.830719	66	4901	6439
1750065243.8432734	66	4910	6449
1750065248.858685	67	4925	6463
1750065253.8748877	67	4932	6477
1750065258.890814	67	4944	6493
1750065263.9061127	67	4959	6507
1750065268.9193199	67	4969	6523
1750065273.9332874	67	4981	6534
1750065278.9483545	67	4987	6542
1750065283.9670706	68	5003	6556
1750065288.9825916	68	5011	6570
1750065293.9957592	68	5023	6589
1750065299.0102942	68	5032	6604
1750065304.0257223	69	5041	6619
1750065309.0456784	70	5052	6631
1750065314.0610054	70	5061	6642
1750065319.07529	71	5068	6658
1750065324.0880818	72	5081	6673
1750065329.1029449	72	5099	6689
1750065334.1239347	73	5109	6706
1750065339.1393416	73	5120	6724
1750065344.1542723	73	5132	6738
1750065349.1693454	73	5141	6747
1750065354.1831465	73	5157	6765
1750065359.1994076	73	5161	6774
1750065364.2144923	73	5170	6788
1750065369.2282398	73	5180	6796
1750065374.24329	73	5191	6809
1750065379.2582521	73	5197	6818
1750065384.2750037	73	5209	6833
1750065389.2896628	73	5222	6841
1750065394.3043945	75	5237	6856
1750065399.3193245	76	5249	6865
1750065404.332885	76	5256	6881
1750065409.3501418	76	5265	6896
1750065414.3643734	76	5276	6911
1750065419.3793018	76	5288	6922
1750065424.3931208	76	5294	6941
1750065429.4067261	76	5312	6948
1750065434.4292865	76	5327	6962
1750065439.4445262	76	5335	6981
1750065444.4587243	77	5345	7000
1750065449.4740486	77	5351	7015
1750065454.4902406	77	5360	7029
1750065459.506895	77	5366	7044
1750065464.5215132	77	5375	7061
1750065469.536868	77	5386	7072
1750065474.5517495	77	5398	7076
1750065479.5663035	77	5407	7088
1750065484.5862813	77	5413	7100
1750065489.601505	77	5419	7109
1750065494.616331	77	5425	7128
1750065499.6315112	77	5437	7147
1750065504.646721	77	5448	7168
1750065509.6624873	77	5458	7178
1750065514.6769285	78	5468	7188
1750065519.6914735	78	5480	7197
